Full Name,House Number,Mobile Number,Gender,Family Members Count,Drinking Water Available,Electricity Available,Toilet Available,Biggest Problem,Suggested Solution
Pooja Jagtap,H-100,9043321819,Female,5,Yes,Yes,Yes,Road,Repair roads
Nitin Jagtap,H-101,,Male,3,No,Yes,Yes,Garbage,Regular garbage collection
Amit Jagtap,H-102,9618495931,Male,2,Yes,Yes,Yes,Other,Needs attention
Prakash Jagtap,H-103,9341928327,Male,5,No,,No,Drainage,Clean drainage
Komal Jagtap,H-104,9641395376,Female,7,No,Yes,Yes,Road,Repair roads
Anil Jagtap,H-105,9328710122,Male,8,No,No,Yes,Garbage,Regular garbage collection
Santosh Jagtap,H-106,9845146270,Male,7,No,No,Yes,Drainage,Clean drainage
Mahesh Jagtap,H-107,9288095701,Male,4,No,Yes,Yes,Road,
Priya Patil,H-108,9227824896,Female,3,Yes,No,Yes,Garbage,Regular garbage collection
Ajay Jagtap,H-109,9509839301,Male,7,Yes,Yes,,Water,New borewell
Mahesh Chavan,H-110,9973763116,Male,4,No,Yes,Yes,Other,Needs attention
Swapnil Jagtap,H-111,9333872624,Male,5,,Yes,Yes,Other,Needs attention
Ramesh Jagtap,H-112,9267736026,Male,2,No,Yes,Yes,Electricity,Improve power supply
Mahesh Jagtap,H-113,,Male,6,No,,No,Road,
Lata Jagtap,H-114,9619399091,Female,5,No,Yes,Yes,Street Light,Install street lights
Swapnil Jagtap,H-115,9079911838,Male,4,Yes,Yes,Yes,Road,Repair roads
Komal More,H-116,9084124118,Female,3,No,Yes,No,Road,Repair roads
Anita Jagtap,H-117,9164005242,Female,7,No,No,No,Garbage,Regular garbage collection
Sunil Jagtap,H-118,,Male,4,Yes,No,Yes,Street Light,Install street lights
Mahesh Jagtap,H-119,9226025634,Male,3,Yes,Yes,Yes,Other,Needs attention
Lata Jagtap,H-120,9303654145,Female,7,No,No,No,Electricity,Improve power supply
Rahul Jagtap,H-121,9196556981,Male,5,Yes,Yes,Yes,Street Light,Install street lights
Vaishnavi Jagtap,H-122,9561595148,Female,4,No,Yes,Yes,Street Light,Install street lights
Anita Jagtap,H-123,9994680443,Female,5,No,Yes,Yes,Garbage,Regular garbage collection
Sneha Jagtap,H-124,9489513433,Female,3,Yes,Yes,Yes,Garbage,Regular garbage collection
Aarti Shinde,H-125,9763201632,Female,8,No,Yes,No,Road,Repair roads
Amit Jagtap,H-126,9798687277,Male,4,Yes,No,Yes,Other,Needs attention
Ajay Jagtap,H-127,9558122362,Male,7,,Yes,Yes,Garbage,Regular garbage collection
Priya Jagtap,H-128,9967054668,Female,7,Yes,Yes,,Electricity,Improve power supply
Ganesh Kadam,H-129,,Male,7,No,Yes,Yes,Road,Repair roads
Anil Jagtap,H-130,,Male,7,Yes,No,Yes,Other,Needs attention
